type,fileName,start,end,status,method,host,path,query,response,json,fileId,jobId,jobStatus
GET_URL,IMG_0014.JPG,2022-03-17T12:51:34.903+02:00,2022-03-17T12:51:35.261+02:00,COMPLETE,GET,int-lambda.cloud.flir,/api/photos/upload-url,fileName=IMG_0014.JPG&autorename=true&parent=e3bd9c94-96d2-4475-9496-8a6a856f4452_62331244370000e1034c054a,200,"{""fileId"":""e3bd9c94-96d2-4475-9496-8a6a856f4452_623312b7370000e1034c054c"",""jobId"":""e3bd9c94-96d2-4475-9496-8a6a856f4452_e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_ed660443-18ff-46f6-8b22-6b9889b37efc"",""url"":""https://int-cloud-lambda-storage-s3.s3.amazonaws.com/e3bd9c94-96d2-4475-9496-8a6a856f4452/photos/623312b7370000e1034c054c?x-amz-meta-parent-folder=62331244370000e1034c054a&x-amz-meta-full-parent-from-request=e3bd9c94-96d2-4475-9496-8a6a856f4452_62331244370000e1034c054a&x-amz-meta-job-id=e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_ed660443-18ff-46f6-8b22-6b9889b37efc&x-amz-meta-file-name=IMG_0014.JPG&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20220317T105135Z&X-Amz-SignedHeaders=host%3Bx-amz-server-side-encryption&X-Amz-Expires=180&X-Amz-Credential=AKIA3USR65ZDUPCU23NU%2F20220317%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=15dcc82ac615561c93259fd73a01fa20f70388b0a4aa5004ffeaa7897afbebf8"",""headers"":{""x-amz-server-side-encryption"":""AES256""}}",e3bd9c94-96d2-4475-9496-8a6a856f4452_623312b7370000e1034c054c,e3bd9c94-96d2-4475-9496-8a6a856f4452_e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_ed660443-18ff-46f6-8b22-6b9889b37efc,
GET_URL,IMG_0020.JPG,2022-03-17T12:51:34.904+02:00,2022-03-17T12:51:35.249+02:00,COMPLETE,GET,int-lambda.cloud.flir,/api/photos/upload-url,fileName=IMG_0020.JPG&autorename=true&parent=e3bd9c94-96d2-4475-9496-8a6a856f4452_62331244370000e1034c054a,200,"{""fileId"":""e3bd9c94-96d2-4475-9496-8a6a856f4452_623312b73700008d8cb45529"",""jobId"":""e3bd9c94-96d2-4475-9496-8a6a856f4452_e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_a74b9a46-f9c0-4d94-bd9a-e6ebed4b33f0"",""url"":""https://int-cloud-lambda-storage-s3.s3.amazonaws.com/e3bd9c94-96d2-4475-9496-8a6a856f4452/photos/623312b73700008d8cb45529?x-amz-meta-parent-folder=62331244370000e1034c054a&x-amz-meta-full-parent-from-request=e3bd9c94-96d2-4475-9496-8a6a856f4452_62331244370000e1034c054a&x-amz-meta-job-id=e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_a74b9a46-f9c0-4d94-bd9a-e6ebed4b33f0&x-amz-meta-file-name=IMG_0020.JPG&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20220317T105135Z&X-Amz-SignedHeaders=host%3Bx-amz-server-side-encryption&X-Amz-Expires=180&X-Amz-Credential=AKIA3USR65ZDUPCU23NU%2F20220317%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=db42d7fb2b50b8851eec267024fd4720ba4f3acd2b7251b68b20c2c0eaee8695"",""headers"":{""x-amz-server-side-encryption"":""AES256""}}",e3bd9c94-96d2-4475-9496-8a6a856f4452_623312b73700008d8cb45529,e3bd9c94-96d2-4475-9496-8a6a856f4452_e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_a74b9a46-f9c0-4d94-bd9a-e6ebed4b33f0,
GET_URL,IMG_0013.JPG,2022-03-17T12:51:34.904+02:00,2022-03-17T12:51:35.246+02:00,COMPLETE,GET,int-lambda.cloud.flir,/api/photos/upload-url,fileName=IMG_0013.JPG&autorename=true&parent=e3bd9c94-96d2-4475-9496-8a6a856f4452_62331244370000e1034c054a,200,"{""fileId"":""e3bd9c94-96d2-4475-9496-8a6a856f4452_623312b7370000e1034c054b"",""jobId"":""e3bd9c94-96d2-4475-9496-8a6a856f4452_e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_ba704f6f-a6c3-4c17-aa1f-82fdfe1519d2"",""url"":""https://int-cloud-lambda-storage-s3.s3.amazonaws.com/e3bd9c94-96d2-4475-9496-8a6a856f4452/photos/623312b7370000e1034c054b?x-amz-meta-parent-folder=62331244370000e1034c054a&x-amz-meta-full-parent-from-request=e3bd9c94-96d2-4475-9496-8a6a856f4452_62331244370000e1034c054a&x-amz-meta-job-id=e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_ba704f6f-a6c3-4c17-aa1f-82fdfe1519d2&x-amz-meta-file-name=IMG_0013.JPG&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20220317T105135Z&X-Amz-SignedHeaders=host%3Bx-amz-server-side-encryption&X-Amz-Expires=180&X-Amz-Credential=AKIA3USR65ZDUPCU23NU%2F20220317%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=c683e0a689b91cfe22833735a6a9d15fb29e9c3edbb905f7146860a7f7e6594a"",""headers"":{""x-amz-server-side-encryption"":""AES256""}}",e3bd9c94-96d2-4475-9496-8a6a856f4452_623312b7370000e1034c054b,e3bd9c94-96d2-4475-9496-8a6a856f4452_e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_ba704f6f-a6c3-4c17-aa1f-82fdfe1519d2,
UPLOAD,,2022-03-17T12:51:35.272+02:00,2022-03-17T12:51:44.281+02:00,COMPLETE,PUT,int-cloud-lambda-storage-s3.s3.amazonaws.com,/e3bd9c94-96d2-4475-9496-8a6a856f4452/photos/623312b7370000e1034c054b,x-amz-meta-parent-folder=62331244370000e1034c054a&x-amz-meta-full-parent-from-request=e3bd9c94-96d2-4475-9496-8a6a856f4452_62331244370000e1034c054a&x-amz-meta-job-id=e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_ba704f6f-a6c3-4c17-aa1f-82fdfe1519d2&x-amz-meta-file-name=IMG_0013.JPG&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20220317T105135Z&X-Amz-SignedHeaders=host%3Bx-amz-server-side-encryption&X-Amz-Expires=180&X-Amz-Credential=AKIA3USR65ZDUPCU23NU%2F20220317%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=c683e0a689b91cfe22833735a6a9d15fb29e9c3edbb905f7146860a7f7e6594a,200,,e3bd9c94-96d2-4475-9496-8a6a856f4452_623312b7370000e1034c054b,,
UPLOAD,,2022-03-17T12:51:38.367+02:00,2022-03-17T12:51:45.157+02:00,COMPLETE,PUT,int-cloud-lambda-storage-s3.s3.amazonaws.com,/e3bd9c94-96d2-4475-9496-8a6a856f4452/photos/623312b7370000e1034c054c,x-amz-meta-parent-folder=62331244370000e1034c054a&x-amz-meta-full-parent-from-request=e3bd9c94-96d2-4475-9496-8a6a856f4452_62331244370000e1034c054a&x-amz-meta-job-id=e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_ed660443-18ff-46f6-8b22-6b9889b37efc&x-amz-meta-file-name=IMG_0014.JPG&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20220317T105135Z&X-Amz-SignedHeaders=host%3Bx-amz-server-side-encryption&X-Amz-Expires=180&X-Amz-Credential=AKIA3USR65ZDUPCU23NU%2F20220317%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=15dcc82ac615561c93259fd73a01fa20f70388b0a4aa5004ffeaa7897afbebf8,200,,e3bd9c94-96d2-4475-9496-8a6a856f4452_623312b7370000e1034c054c,,
UPLOAD,,2022-03-17T12:51:38.367+02:00,2022-03-17T12:51:43.911+02:00,COMPLETE,PUT,int-cloud-lambda-storage-s3.s3.amazonaws.com,/e3bd9c94-96d2-4475-9496-8a6a856f4452/photos/623312b73700008d8cb45529,x-amz-meta-parent-folder=62331244370000e1034c054a&x-amz-meta-full-parent-from-request=e3bd9c94-96d2-4475-9496-8a6a856f4452_62331244370000e1034c054a&x-amz-meta-job-id=e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_a74b9a46-f9c0-4d94-bd9a-e6ebed4b33f0&x-amz-meta-file-name=IMG_0020.JPG&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20220317T105135Z&X-Amz-SignedHeaders=host%3Bx-amz-server-side-encryption&X-Amz-Expires=180&X-Amz-Credential=AKIA3USR65ZDUPCU23NU%2F20220317%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=db42d7fb2b50b8851eec267024fd4720ba4f3acd2b7251b68b20c2c0eaee8695,200,,e3bd9c94-96d2-4475-9496-8a6a856f4452_623312b73700008d8cb45529,,
GET_URL,IMG_0012.JPG,2022-03-17T12:51:43.917+02:00,2022-03-17T12:51:44.264+02:00,COMPLETE,GET,int-lambda.cloud.flir,/api/photos/upload-url,fileName=IMG_0012.JPG&autorename=true&parent=e3bd9c94-96d2-4475-9496-8a6a856f4452_62331244370000e1034c054a,200,"{""fileId"":""e3bd9c94-96d2-4475-9496-8a6a856f4452_623312c03700008d8cb4552a"",""jobId"":""e3bd9c94-96d2-4475-9496-8a6a856f4452_e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_55091f09-53a7-4fd1-9826-d8486b4d59a3"",""url"":""https://int-cloud-lambda-storage-s3.s3.amazonaws.com/e3bd9c94-96d2-4475-9496-8a6a856f4452/photos/623312c03700008d8cb4552a?x-amz-meta-parent-folder=62331244370000e1034c054a&x-amz-meta-full-parent-from-request=e3bd9c94-96d2-4475-9496-8a6a856f4452_62331244370000e1034c054a&x-amz-meta-job-id=e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_55091f09-53a7-4fd1-9826-d8486b4d59a3&x-amz-meta-file-name=IMG_0012.JPG&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20220317T105144Z&X-Amz-SignedHeaders=host%3Bx-amz-server-side-encryption&X-Amz-Expires=180&X-Amz-Credential=AKIA3USR65ZDUPCU23NU%2F20220317%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=78f7e74bf1ed795221ad98f54ba055d33a7032d25f8a91d075de2c2252eefb3b"",""headers"":{""x-amz-server-side-encryption"":""AES256""}}",e3bd9c94-96d2-4475-9496-8a6a856f4452_623312c03700008d8cb4552a,e3bd9c94-96d2-4475-9496-8a6a856f4452_e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_55091f09-53a7-4fd1-9826-d8486b4d59a3,
GET_URL,IMG_0011.JPG,2022-03-17T12:51:44.285+02:00,2022-03-17T12:51:44.635+02:00,COMPLETE,GET,int-lambda.cloud.flir,/api/photos/upload-url,fileName=IMG_0011.JPG&autorename=true&parent=e3bd9c94-96d2-4475-9496-8a6a856f4452_62331244370000e1034c054a,200,"{""fileId"":""e3bd9c94-96d2-4475-9496-8a6a856f4452_623312c03700008d8cb4552b"",""jobId"":""e3bd9c94-96d2-4475-9496-8a6a856f4452_e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_9f4aa984-d515-4f51-af80-73a915ce3ab7"",""url"":""https://int-cloud-lambda-storage-s3.s3.amazonaws.com/e3bd9c94-96d2-4475-9496-8a6a856f4452/photos/623312c03700008d8cb4552b?x-amz-meta-parent-folder=62331244370000e1034c054a&x-amz-meta-full-parent-from-request=e3bd9c94-96d2-4475-9496-8a6a856f4452_62331244370000e1034c054a&x-amz-meta-job-id=e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_9f4aa984-d515-4f51-af80-73a915ce3ab7&x-amz-meta-file-name=IMG_0011.JPG&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20220317T105144Z&X-Amz-SignedHeaders=host%3Bx-amz-server-side-encryption&X-Amz-Expires=180&X-Amz-Credential=AKIA3USR65ZDUPCU23NU%2F20220317%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=5b50bb977bcad2a8e24288215baa1d0f9813eb9835d0745029a4dafc3dc6c419"",""headers"":{""x-amz-server-side-encryption"":""AES256""}}",e3bd9c94-96d2-4475-9496-8a6a856f4452_623312c03700008d8cb4552b,e3bd9c94-96d2-4475-9496-8a6a856f4452_e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_9f4aa984-d515-4f51-af80-73a915ce3ab7,
UPLOAD,,2022-03-17T12:51:44.301+02:00,2022-03-17T12:51:46.589+02:00,COMPLETE,PUT,int-cloud-lambda-storage-s3.s3.amazonaws.com,/e3bd9c94-96d2-4475-9496-8a6a856f4452/photos/623312c03700008d8cb4552a,x-amz-meta-parent-folder=62331244370000e1034c054a&x-amz-meta-full-parent-from-request=e3bd9c94-96d2-4475-9496-8a6a856f4452_62331244370000e1034c054a&x-amz-meta-job-id=e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_55091f09-53a7-4fd1-9826-d8486b4d59a3&x-amz-meta-file-name=IMG_0012.JPG&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20220317T105144Z&X-Amz-SignedHeaders=host%3Bx-amz-server-side-encryption&X-Amz-Expires=180&X-Amz-Credential=AKIA3USR65ZDUPCU23NU%2F20220317%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=78f7e74bf1ed795221ad98f54ba055d33a7032d25f8a91d075de2c2252eefb3b,200,,e3bd9c94-96d2-4475-9496-8a6a856f4452_623312c03700008d8cb4552a,,
UPLOAD,,2022-03-17T12:51:44.651+02:00,2022-03-17T12:51:47.330+02:00,COMPLETE,PUT,int-cloud-lambda-storage-s3.s3.amazonaws.com,/e3bd9c94-96d2-4475-9496-8a6a856f4452/photos/623312c03700008d8cb4552b,x-amz-meta-parent-folder=62331244370000e1034c054a&x-amz-meta-full-parent-from-request=e3bd9c94-96d2-4475-9496-8a6a856f4452_62331244370000e1034c054a&x-amz-meta-job-id=e3bd9c94-96d2-4475-9496-8a6a856f4452_photos_9f4aa984-d515-4f51-af80-73a915ce3ab7&x-amz-meta-file-name=IMG_0011.JPG&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20220317T105144Z&X-Amz-SignedHeaders=host%3Bx-amz-server-side-encryption&X-Amz-Expires=180&X-Amz-Credential=AKIA3USR65ZDUPCU23NU%2F20220317%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=5b50bb977bcad2a8e24288215baa1d0f9813eb9835d0745029a4dafc3dc6c419,200,,e3bd9c94-96d2-4475-9496-8a6a856f4452_623312c03700008d8cb4552b,,
